type,step,loss,learning_rate
train,1,13.03452682,5e-07
train,2,12.93460464,1e-06
train,3,13.02308464,1.5e-06
train,4,13.01119328,2e-06
train,5,13.09261417,2.5e-06
train,6,12.94941902,3e-06
train,7,12.72602463,3.5e-06
train,8,12.46984768,4e-06
train,9,12.27357483,4.5e-06
train,10,11.23434639,5e-06
train,11,10.74307442,5.5e-06
train,12,10.10076618,6e-06
train,13,9.43003082,6.5e-06
train,14,9.17123222,7e-06
train,15,9.42971802,7.5e-06
train,16,8.93602657,8e-06
train,17,7.97148323,8.5e-06
train,18,7.50160503,9e-06
train,19,7.13815498,9.5e-06
train,20,7.17359543,1e-05
train,21,7.05019712,9.964e-06
train,22,6.76871252,9.929e-06
train,23,6.8324852,9.893e-06
train,24,6.27770996,9.857e-06
train,25,6.29957867,9.821e-06
train,26,6.06721926,9.786e-06
train,27,6.50239086,9.75e-06
train,28,6.41582298,9.714e-06
train,29,5.83323193,9.679e-06
train,30,5.87681675,9.643e-06
train,31,5.61777973,9.607e-06
train,32,6.04211473,9.571e-06
train,33,5.47408199,9.536e-06
train,34,5.85568237,9.5e-06
train,35,5.88716984,9.464e-06
train,36,4.95494747,9.429e-06
train,37,5.52749252,9.393e-06
train,38,5.40303659,9.357e-06
train,39,5.58250904,9.321e-06
train,40,5.37283373,9.286e-06
train,41,5.5649395,9.25e-06
train,42,5.04258013,9.214e-06
train,43,5.02370262,9.179e-06
train,44,5.02291679,9.143e-06
train,45,5.0171895,9.107e-06
train,46,4.6494379,9.071e-06
train,47,4.89654112,9.036e-06
train,48,4.8963604,9e-06
train,49,4.416327,8.964e-06
train,50,4.80907202,8.929e-06
eval,50,4.722357273101807,
train,51,5.13811111,8.893e-06
train,52,4.29405928,8.857e-06
train,53,4.73939371,8.821e-06
train,54,4.31417418,8.786e-06
train,55,4.87490559,8.75e-06
train,56,4.2738328,8.714e-06
train,57,4.3373251,8.679e-06
train,58,4.62437677,8.643e-06
train,59,4.49357462,8.607e-06
train,60,4.64232445,8.571e-06
train,61,4.63297653,8.536e-06
train,62,4.32358456,8.5e-06
train,63,4.14831066,8.464e-06
train,64,4.5676384,8.429e-06
train,65,4.63823986,8.393e-06
train,66,4.21091938,8.357e-06
train,67,4.14680576,8.321e-06
train,68,4.37830925,8.286e-06
train,69,4.35007668,8.25e-06
train,70,4.64313316,8.214e-06
train,71,4.20519161,8.179e-06
train,72,4.23064566,8.143e-06
train,73,4.43910122,8.107e-06
train,74,4.00450754,8.071e-06
train,75,4.22215414,8.036e-06
train,76,3.99620199,8e-06
train,77,4.16845036,7.964e-06
train,78,4.177773,7.929e-06
train,79,4.00309229,7.893e-06
train,80,4.00539446,7.857e-06
train,81,3.89796758,7.821e-06
train,82,4.17794704,7.786e-06
train,83,4.1035409,7.75e-06
train,84,3.85934806,7.714e-06
train,85,4.09661865,7.679e-06
train,86,3.92318678,7.643e-06
train,87,4.20148087,7.607e-06
train,88,3.85797596,7.571e-06
train,89,4.15303612,7.536e-06
train,90,3.6156621,7.5e-06
train,91,4.32395649,7.464e-06
train,92,4.32070541,7.429e-06
train,93,3.57445884,7.393e-06
train,94,3.725811,7.357e-06
train,95,3.71610522,7.321e-06
train,96,3.98480892,7.286e-06
train,97,4.04469776,7.25e-06
train,98,4.29197693,7.214e-06
train,99,3.91643953,7.179e-06
train,100,3.90299606,7.143e-06
eval,100,3.807039737701416,
train,101,4.00462294,7.107e-06
train,102,4.25304222,7.071e-06
train,103,3.90015268,7.036e-06
train,104,3.86632776,7e-06
train,105,3.56592441,6.964e-06
train,106,3.70066118,6.929e-06
train,107,3.45560455,6.893e-06
train,108,3.61135578,6.857e-06
train,109,3.56429386,6.821e-06
train,110,3.29041004,6.786e-06
train,111,3.30818009,6.75e-06
train,112,3.68109512,6.714e-06
train,113,3.77487803,6.679e-06
train,114,3.67395973,6.643e-06
train,115,3.62089276,6.607e-06
train,116,3.53061271,6.571e-06
train,117,3.35545158,6.536e-06
train,118,3.91669369,6.5e-06
train,119,3.42794275,6.464e-06
train,120,3.54800892,6.429e-06
train,121,3.55198956,6.393e-06
train,122,3.80850554,6.357e-06
train,123,3.71286225,6.321e-06
train,124,3.5720439,6.286e-06
train,125,3.37883234,6.25e-06
train,126,3.31893349,6.214e-06
train,127,3.48796105,6.179e-06
train,128,3.28673077,6.143e-06
train,129,3.74250221,6.107e-06
train,130,3.20160294,6.071e-06
train,131,3.33770943,6.036e-06
train,132,3.49695563,6e-06
train,133,3.59454584,5.964e-06
train,134,3.89117861,5.929e-06
train,135,3.4722929,5.893e-06
train,136,3.53009439,5.857e-06
train,137,3.34296203,5.821e-06
train,138,3.7174139,5.786e-06
train,139,3.54302025,5.75e-06
train,140,3.47493029,5.714e-06
train,141,3.42803812,5.679e-06
train,142,3.71065307,5.643e-06
train,143,3.5923624,5.607e-06
train,144,3.52852583,5.571e-06
train,145,3.82578421,5.536e-06
train,146,3.46799374,5.5e-06
train,147,3.61932707,5.464e-06
train,148,3.32292795,5.429e-06
train,149,3.43624878,5.393e-06
train,150,3.46947885,5.357e-06
eval,150,3.3450706005096436,
train,151,3.65809393,5.321e-06
train,152,3.37773991,5.286e-06
train,153,3.42377281,5.25e-06
train,154,3.35724831,5.214e-06
train,155,3.56130838,5.179e-06
train,156,3.35014844,5.143e-06
train,157,3.02940035,5.107e-06
train,158,3.21572399,5.071e-06
train,159,3.08313799,5.036e-06
train,160,3.03762031,5e-06
train,161,3.20370269,4.964e-06
train,162,3.0345645,4.929e-06
train,163,3.45497513,4.893e-06
train,164,3.66031289,4.857e-06
train,165,3.12996626,4.821e-06
train,166,3.41113234,4.786e-06
train,167,3.31786108,4.75e-06
train,168,3.31838512,4.714e-06
train,169,3.4666903,4.679e-06
