step,loss,learning_rate
1,13.20968914,5e-07
2,13.014431,1e-06
3,13.00907612,1.5e-06
4,13.3500843,2e-06
5,13.00252724,2.5e-06
6,13.08235264,3e-06
7,12.98123169,3.5e-06
8,12.85547543,4e-06
9,12.95564079,4.5e-06
10,12.8038435,5e-06
11,13.1013031,5.5e-06
12,13.03059578,6e-06
13,12.97416019,6.5e-06
14,12.74851513,7e-06
15,13.04976559,7.5e-06
16,12.75878525,8e-06
17,12.7050724,8.5e-06
18,12.54421806,9e-06
19,12.40036201,9.5e-06
20,12.26120186,1e-05
21,12.53326988,9.964e-06
22,12.3682642,9.929e-06
23,12.16529179,9.893e-06
24,12.09186077,9.857e-06
25,12.04713154,9.821e-06
26,11.60676193,9.786e-06
27,11.78342056,9.75e-06
28,11.15314674,9.714e-06
29,11.37341022,9.679e-06
30,11.11589432,9.643e-06
31,11.20803642,9.607e-06
32,11.35917187,9.571e-06
33,11.1366415,9.536e-06
34,10.87222385,9.5e-06
35,10.74325371,9.464e-06
36,11.07944584,9.429e-06
37,10.58639145,9.393e-06
38,10.77917671,9.357e-06
39,9.98969841,9.321e-06
40,10.398592,9.286e-06
41,9.9745903,9.25e-06
42,10.68228531,9.214e-06
43,10.16319752,9.179e-06
44,10.07074928,9.143e-06
45,9.59432411,9.107e-06
46,9.75234413,9.071e-06
47,10.46478558,9.036e-06
48,9.17036057,9e-06
49,10.34429836,8.964e-06
50,9.60131359,8.929e-06
51,9.73217964,8.893e-06
52,9.87771416,8.857e-06
53,9.25750351,8.821e-06
54,9.97446632,8.786e-06
55,10.77803612,8.75e-06
56,9.51106358,8.714e-06
57,10.02606583,8.679e-06
58,9.94784641,8.643e-06
59,9.40764618,8.607e-06
60,9.64212894,8.571e-06
61,9.37452221,8.536e-06
62,9.52619362,8.5e-06
63,9.69038963,8.464e-06
64,9.37536049,8.429e-06
65,9.51469898,8.393e-06
66,9.09467697,8.357e-06
67,8.7297039,8.321e-06
68,9.01630497,8.286e-06
69,9.064641,8.25e-06
70,7.94382858,8.214e-06
71,9.40398026,8.179e-06
72,9.48678684,8.143e-06
73,8.4623394,8.107e-06
74,8.51296234,8.071e-06
75,8.87982178,8.036e-06
76,8.73385525,8e-06
77,7.87526035,7.964e-06
78,8.92171478,7.929e-06
79,8.32831669,7.893e-06
80,8.67687321,7.857e-06
81,8.911026,7.821e-06
82,8.78230953,7.786e-06
83,8.44172096,7.75e-06
84,7.68741846,7.714e-06
85,8.10181618,7.679e-06
86,8.76593494,7.643e-06
87,8.09435081,7.607e-06
88,8.32060719,7.571e-06
89,8.17911339,7.536e-06
90,8.47620296,7.5e-06
91,8.55369568,7.464e-06
92,8.3724308,7.429e-06
93,7.46220016,7.393e-06
94,7.52124071,7.357e-06
95,8.39251709,7.321e-06
96,8.08105659,7.286e-06
97,7.87525654,7.25e-06
98,7.95711899,7.214e-06
99,7.6825943,7.179e-06
100,8.47428513,7.143e-06
101,8.05909348,7.107e-06
102,8.04974556,7.071e-06
103,6.97233248,7.036e-06
104,8.10473633,7e-06
105,8.03946018,6.964e-06
106,8.83767509,6.929e-06
107,7.72643089,6.893e-06
108,8.36970234,6.857e-06
109,8.24780655,6.821e-06
110,7.81768227,6.786e-06
111,8.35319138,6.75e-06
112,8.28052235,6.714e-06
113,7.72839069,6.679e-06
114,7.70900631,6.643e-06
115,8.01671982,6.607e-06
116,7.74088478,6.571e-06
117,7.92554808,6.536e-06
118,7.63680887,6.5e-06
119,7.26904154,6.464e-06
120,8.30117893,6.429e-06
121,7.59565878,6.393e-06
122,7.19836473,6.357e-06
123,7.89042187,6.321e-06
124,7.85517216,6.286e-06
125,7.5928545,6.25e-06
126,8.57558918,6.214e-06
127,7.78125095,6.179e-06
128,7.88725662,6.143e-06
129,7.24988508,6.107e-06
130,7.55845356,6.071e-06
131,7.73619938,6.036e-06
132,7.45323563,6e-06
133,8.18118286,5.964e-06
134,8.0502739,5.929e-06
